iter	Passed	Remaining
678	1404	663
679	1406	661
680	1410	660
681	1412	658
682	1415	656
683	1416	654
684	1418	652
685	1420	650
686	1422	648
687	1427	647
688	1431	646
689	1432	643
690	1434	641
691	1435	638
692	1436	636
693	1438	634
694	1440	632
695	1442	630
696	1445	628
697	1447	626
698	1450	624
699	1452	622
700	1457	621
701	1459	619
702	1462	617
703	1463	615
704	1465	613
705	1467	611
706	1475	611
707	1478	609
708	1479	607
709	1481	605
710	1483	602
711	1484	600
712	1487	598
713	1490	597
714	1492	594
715	1494	592
716	1497	590
717	1498	588
718	1502	587
719	1505	585
720	1507	583
721	1511	581
722	1512	579
723	1517	578
724	1520	576
725	1522	574
726	1524	572
727	1526	570
728	1529	568
729	1532	566
730	1535	565
731	1538	563
732	1542	561
733	1543	559
734	1545	557
735	1549	555
736	1553	554
737	1555	552
738	1556	549
739	1558	547
740	1559	545
741	1564	544
742	1570	543
743	1572	541
744	1573	538
745	1575	536
746	1578	534
747	1581	532
748	1584	531
749	1586	528
750	1587	526
751	1589	524
752	1593	522
753	1597	521
754	1598	518
755	1600	516
756	1602	514
757	1603	511
758	1604	509
759	1607	507
760	1610	505
761	1614	504
762	1615	501
763	1617	499
764	1619	497
765	1620	495
766	1624	493
767	1627	491
768	1629	489
769	1630	487
770	1632	484
771	1633	482
772	1635	480
773	1637	478
774	1644	477
775	1646	475
776	1647	472
777	1650	470
778	1653	469
779	1656	467
780	1658	465
781	1660	462
782	1661	460
783	1662	458
784	1664	455
785	1665	453
786	1668	451
787	1672	449
788	1674	447
789	1676	445
790	1677	443
791	1679	440
792	1680	438
793	1684	437
794	1689	435
795	1691	433
796	1693	431
797	1694	428
798	1695	426
799	1698	424
800	1702	422
801	1705	420
802	1707	418
803	1709	416
804	1710	414
805	1714	412
806	1718	410
807	1720	408
808	1722	406
809	1723	404
810	1726	402
811	1729	400
812	1734	398
813	1736	396
814	1737	394
815	1739	392
816	1743	390
817	1746	388
818	1750	386
819	1754	385
820	1757	383
821	1759	381
822	1762	379
823	1766	377
824	1768	375
825	1769	372
826	1774	371
827	1776	369
828	1779	367
829	1782	365
830	1784	362
831	1785	360
832	1791	359
833	1794	357
